BY775,Alpsennerei Unterbalderschwang 
BY776,Alpsennerei Oberbalderschwang
BY777,Alpsennerei Gschwend
BY778,Alpsennerei Höfle
BY780,Alpsennerei Piesen-Füß'sche 
BY781,Alpsennerei Spicherhalde 
BY782,Alpsennerei Oberberg I
BY783,Alpsennerei Ornach 
BY785,Alpsennerei Mitterhaus
BY788,Alpsennerei Hochried
BY789,Alpsennerei Unteregg
BY792,Alpsennerei Kellersalpe
BY794,Alpsennerei Buralpe
BY795,Alpsennerei Helmingen 
BY797,Alpsennerei Mittelberg
BY798,Alpsennerei Rindalpe Nord
BY7101,Alpsennerei Waltnersalpe
BY7102,Alpsennerei Breitegehren
BY7103,Alpsennerei Schlappold
BY7112,Alpsennerei Ochsenberg
BY7116,Albert Herz GmbH
BY7117,Molkereigesellschaft Lauingen mbH
BY7118,Stegmann Emmentaler Käsereien GmbH Werk Altusried 
BY7119,Konrad Leising 
BY7120,Sennereigenossenschaft Steibis H.Josef Eisele
BY7122,NOVO-FOOD GmbH 
BY7123,Meinrad Gast Molkereibetrieb oHG 
BY7124,Molkerei Wilhelm GmbH
BY7125,Bergland Naturkäse GmbH 
BY7126,ZOMA Milch & Molke GmbH 
BY7127,Alpsennerei Gerstenbrändle 
BY7128,Alpsennerei Kematsried
BY7129,Alpe Hompessen 
BY7130,Käsalp
BY7134,Thalkirchdorfer Dorfhaus GmbH 
BY7135,Alpe Lappach II
BY7136,Geisenhof Krötz
BY7137,Betriebsstätte (Alpsennerei) Alpe Thalhofer Berg
BY7140,MERTINA GMBH
BY7144,Instant Food Simpert Reiter GmbH 
BY7146,Alpe Schwabenberg II Börlas
BY7147,Bio-Schaukäserei Wiggensbach GmbH
BY7148,MangoldŽs Biohof
BY7150,Minikäserei Missen-Berger Käsköpfle 
BY7151,Franz Egenberger GmbH Milchwerk Betriebsstätte Jakob-Krause-Strasse
BY7152,Simpert Reiter GmbH
BY00108,BG Käsewerk GmbH 
BY10189,Fleischwaren Holnburger GmbH 
BY10277,Münchner Suppenküche Handels GmbH & Co.
BY10321,Johann Riedmair
BY10371,Sozialservice-gesellschaft des Bayerischen Roten Kreuzes GmbH Seniorenwohnheim Altomünster 
BY10510,LSG Sky Chefs Deutschland GmbH
BY13001,Agnes Zeller
BY13002,Milchproduktenhandel e.G. 
BY13003,Maximilian Stangl
BY13006,Frisch Milch Hof Lanzl 
BY13008,Münchner Kind'l Senf GmbH 
BY13010,Obermooser Bio-Hofkäserei 
BY13011,Rosenheimer Milchhandelsgesellschaft mbH 
BY13012,Jeneil BioProducts GmbH
BY13013,Tölzer Kasladen GmbH
BY13015,Stegmann Emmentaler Käsereien GmbH Werk Reichertshausen
BY13016,Kas-Sepp
BY13019,Beindlhof
BY13020,Hutter-Milch GbR 
BY13021,Kraft Foods R & D Inc. Zweigniederlassung München
BY13022,Hochland Deutschland GmbH Werk Schongau
BY13024,Schleckgoaß Andreas Huber 
BY13027,Molkerei Weihenstephan GmbH & Co.KG
BY13038,Bayerische Milchindustrie eG. Werk Peiting
BY13048,Ziegenmeierei Oberlohe 
BY18004,Rovita GmbH
BY20017,Binataler Dorfkäserei OHG 
BY20089,Käserei Südamerika
BY20092,Martin Hofer
BY20141,Lenzbauer Naturland-Hof Inh. Andrea und Ulrich Forsthofer 
BY20190,Latro Food GmbH
BY20301,Colostrum Products International GmbH 
BY20302,Hofkäserei Baumgartner 
BY30233,Hofkäserei Wohlfahrt
BY30253,Hofkäserei Lang GbR 
BY30419,Hofkäserei Hollweck 
BY30456,Ziegenmilchbetrieb Kahl-Kormann 
BY30510,Bechtel Naturkäsewerk GmbH & Co. KG
BY40015,dennree GmbH
BY40224,Reinhard Friedrich - Friedrichs Räucherkäse 
BY50007,Forster Convenience Food GmbH
BY50008,Hans Kupfer & Sohn GmbH und Co. KG 
BY50053,Kurt Zwingel
BY50064,Metzgerei Gary
